county,county_ft,latitude_y,longitude_y
anlu,安陸 ,31.0219541851857,113.754141558911
biyang,沘陽 ,32.7151,113.3089
bowang,博望 ,33.16314,112.7414
chenggao,成皋 ,34.8210205961503,113.123324625909
chongling,舂陵 ,31.9875486732027,112.833341515613
dangxian,碭縣 ,34.1616614890121,116.450938683481
danshui,丹水 ,33.0659160657461,111.238089452914
dengxian,鄧縣 ,32.0545,112.0984
fangling,房陵,32.0555675,110.7367772
gongxian,鞏縣 ,34.7274270341896,112.919089887424
gucheng,穀城 ,32.2227,111.5873
henan,河南 ,34.6774314395294,112.414770336201
hongnong,弘農 ,34.6078009827715,110.943865697399
huyang,湖陽 ,32.3374342611367,112.731678645717
jiangling,江陵 ,30.3533162458038,112.182898297622
jinancheng,紀南城 ,30.4251102527338,112.1633942484
jixian,汲縣 ,35.4179324863995,113.959445844935
luoyang,雒陽 ,34.7290575734777,112.653857110393
luozhou,羅州 ,30.2608816469012,115.441529488332
mixian,密縣 ,34.4366149122707,113.507600169195
pingyin,平陰 ,34.9003254870059,112.467380053561
qichun,蘄春 ,30.1086656239241,115.369905297599
shandou,山都 ,32.1388893095301,111.754076518087
shanxian,陝縣 ,34.7707281544405,111.153036514511
shaxian,沙羨 ,30.334,114.1223
suixian,隨縣 ,31.6993,113.367
wancheng,莞城 ,34.7525940944185,113.690633856124
wanxian,宛縣 ,33.0095008060053,112.527263265578
xiangyang,襄陽 ,32.0124353268834,112.140119148482
xiling,西陵 ,30.8357949301396,114.784891572358
xinan,新安 ,34.745436079829,111.867921769384
xingyang,滎陽 ,34.83817,113.43052
xinye,新野 ,32.5192864828954,112.368693816133
yanshi,偃師,34.7224155033397,112.802626423407
yicheng,宜城 ,31.6418,112.2415
yiling,夷陵 ,30.692918968763,111.305513530166
yingcheng,郢城 ,30.3768026970929,112.225978118688
yingxian,郢縣 ,30.3963300904721,112.202939755544
yingyin,穎陰 ,34.0633870333975,113.845307227104
yinxian,陰縣 ,32.4613497335891,111.636630756402
zhijiang,枝江 ,30.5017,111.9018
zhixian,軹縣,35.09333517,112.5971707
zhuxian,邾縣,30.5158,114.8536
zhuyang,築陽 ,32.2601031978565,111.690973322435
